"","term","estimate","std.error","statistic","p.value","boot"
"1","tpoly1",-0.00060877893044208,5.79063403166207e-05,-10.513165347929,2.12878359979357e-25,1
"2","tpoly2",-8.10874461861616e-06,4.15603912504756e-06,-1.95107514020898,0.0511438825613788,1
"3","tpoly3",1.11993934701274e-06,2.91627304596071e-07,3.84031031855524,0.000125496816559834,1
"4","tpoly4",4.20233302271408e-08,8.89549420184468e-09,4.72411417214193,2.4207218202291e-06,1
"5","tpoly1_lag1",-0.00103434478285891,6.47457117194358e-05,-15.975494830315,3.89807545501817e-55,1
"6","tpoly2_lag1",-8.20106815071522e-06,4.29032690231103e-06,-1.91152523745863,0.0560351763104469,1
"7","tpoly3_lag1",2.36467371525373e-07,3.33259357119722e-07,0.709559586170669,0.478034097531214,1
"8","tpoly4_lag1",2.38618521527307e-08,9.48364246535671e-09,2.51610625768494,0.0119193022800968,1
"9","tpoly1_lag2",-0.000747043291425541,6.11089909851305e-05,-12.2247688823289,1.50101663866558e-33,1
"10","tpoly2_lag2",3.36621645853412e-06,4.00475186791083e-06,0.840555562382493,0.40066597280768,1
"11","tpoly3_lag2",9.05607893289738e-07,2.95234137368198e-07,3.06742269495861,0.00217898522576573,1
"12","tpoly4_lag2",-2.61299494136653e-08,8.3927216687251e-09,-3.11340593016885,0.00186737585554604,1
"13","tpoly1_lag3",-0.000817796968485882,6.3133764251307e-05,-12.9534010554258,2.37093291421776e-37,1
"14","tpoly2_lag3",3.21242973751697e-06,4.6454150064364e-06,0.691526964343558,0.489289568493628,1
"15","tpoly3_lag3",1.28739406797414e-06,4.02070370398857e-07,3.2019123087758,0.00137988959482555,1
"16","tpoly4_lag3",-3.62260061371952e-08,1.08455639212714e-08,-3.3401680539769,0.000847827595483367,1
"17","tpoly1",-0.000612302261399536,5.96985802198075e-05,-10.2565632071159,2.88954430649595e-24,2
"18","tpoly2",-6.99624171036635e-06,3.94308131265329e-06,-1.77430825175111,0.0761183540116182,2
"19","tpoly3",7.20661916708955e-07,3.04246870607672e-07,2.36867487008027,0.017917922893638,2
"20","tpoly4",5.3550713345965e-08,9.09457532922763e-09,5.8882038366175,4.35811329536693e-09,2
"21","tpoly1_lag1",-0.00086445194962919,6.26524845496714e-05,-13.7975685376666,5.62792263149508e-42,2
"22","tpoly2_lag1",-2.45552703161954e-06,4.47835703744653e-06,-0.54830979555387,0.583521922497387,2
"23","tpoly3_lag1",-1.07818824512171e-06,3.73193716151959e-07,-2.88908467226894,0.00389265773417068,2
"24","tpoly4_lag1",5.9255857986418e-08,1.03040898431393e-08,5.75071247324883,9.82512204279799e-09,2
"25","tpoly1_lag2",-0.000711213780852121,5.56872496523266e-05,-12.7715731211805,2.27546324891207e-36,2
"26","tpoly2_lag2",-3.73038414236747e-06,3.85514717153693e-06,-0.967637285006755,0.333307224380242,2
"27","tpoly3_lag2",1.54738584377737e-06,2.99324336858638e-07,5.16959583045249,2.50735355701125e-07,2
"28","tpoly4_lag2",-4.4637900131779e-08,8.6473550959901e-09,-5.16202927210405,2.60990114067483e-07,2
"29","tpoly1_lag3",-0.000772001907726639,5.75494503187156e-05,-13.4145835181952,7.71611772231734e-40,2
"30","tpoly2_lag3",2.365218375545e-07,4.202767015663e-06,0.0562776467677185,0.955124550164328,2
"31","tpoly3_lag3",1.2660098398913e-06,3.61413481163351e-07,3.50294027720314,0.000467193981807384,2
"32","tpoly4_lag3",-3.19929773051475e-08,1.01157367509911e-08,-3.16269374072164,0.00157951822508166,2
"33","tpoly1",-0.000786685583778776,5.8390190268504e-05,-13.4729066673913,3.33439725876986e-40,3
"34","tpoly2",-5.53205213677862e-06,4.20537817696873e-06,-1.31547078621266,0.188453166953763,3
"35","tpoly3",1.73871404544366e-06,2.64693147347033e-07,6.56879130748357,5.9657661491396e-11,3
"36","tpoly4",2.17315380043351e-08,8.32749820962166e-09,2.60961184947795,0.0091099559957004,3
"37","tpoly1_lag1",-0.000922971380951275,6.33073754998508e-05,-14.5792077726149,1.48272528236461e-46,3
"38","tpoly2_lag1",-1.25465987393607e-05,4.54616418602303e-06,-2.75982085687417,0.00581875486437576,3
"39","tpoly3_lag1",-2.46478110234882e-07,3.29798836431154e-07,-0.747358944325248,0.454906024928668,3
"40","tpoly4_lag1",4.527495735596e-08,1.00505073416297e-08,4.50474347383729,6.9014032721588e-06,3
"41","tpoly1_lag2",-0.000627905157068254,5.44548898832426e-05,-11.5307396344856,3.99811626518507e-30,3
"42","tpoly2_lag2",-6.26108728228793e-07,4.04215982544506e-06,-0.154894599735392,0.876914925579161,3
"43","tpoly3_lag2",7.06680869743899e-07,2.82460443306296e-07,2.50187552448745,0.0124070686757132,3
"44","tpoly4_lag2",-1.76923637347826e-08,8.24208003611067e-09,-2.14658965422173,0.0319066465127845,3
"45","tpoly1_lag3",-0.000766956382776622,6.51094850239398e-05,-11.779487773473,2.44931114849687e-31,3
"46","tpoly2_lag3",2.25312860497209e-06,3.94818700775775e-06,0.570674236186112,0.568263614907988,3
"47","tpoly3_lag3",9.21117579038029e-07,2.90243832147961e-07,3.1735991501396,0.00152098445835544,3
"48","tpoly4_lag3",-2.39694575260167e-08,8.17852392750323e-09,-2.93078038757223,0.00340688815607988,3
"49","tpoly1",-0.000761143704760569,5.87317740787188e-05,-12.9596579824134,2.12513212932067e-37,4
"50","tpoly2",-5.17738535738403e-06,3.8853954606009e-06,-1.33252468375081,0.1827906128159,4
"51","tpoly3",1.60273112531707e-06,2.94144554520557e-07,5.44878734175261,5.48853198625755e-08,4
"52","tpoly4",2.14807470207759e-08,1.02602299361262e-08,2.09359314113832,0.0363812975979627,4
"53","tpoly1_lag1",-0.000843478964610645,5.88161431118786e-05,-14.3409431489957,3.84425644722222e-45,4
"54","tpoly2_lag1",-1.50305413131004e-05,4.37321152529453e-06,-3.43695730841378,0.0005964177262652,4
"55","tpoly3_lag1",-3.8908144460712e-07,3.17370982275808e-07,-1.22595154042468,0.220314633950838,4
"56","tpoly4_lag1",5.10788526399172e-08,9.20201404828069e-09,5.55083402089142,3.09505992219771e-08,4
"57","tpoly1_lag2",-0.00074316291876926,5.3095161219634e-05,-13.9968106640657,3.77938137152372e-43,4
"58","tpoly2_lag2",1.93780021297725e-07,3.73293378797879e-06,0.0519109184100069,0.958603184263706,4
"59","tpoly3_lag2",9.82470594462285e-07,2.73075398178288e-07,3.59779973229533,0.000326185830432632,4
"60","tpoly4_lag2",-2.59758610443051e-08,8.77151708087022e-09,-2.9613875005677,0.00308696470399875,4
"61","tpoly1_lag3",-0.000810755026691447,5.87852664098325e-05,-13.7918066244544,5.55293401102853e-42,4
"62","tpoly2_lag3",1.08624261597798e-06,3.69592368950698e-06,0.293902879829989,0.768852765467919,4
"63","tpoly3_lag3",1.51623477212344e-06,3.00141112351253e-07,5.05173969752267,4.64430030846604e-07,4
"64","tpoly4_lag3",-3.91188620909608e-08,8.38238587934094e-09,-4.66679327986706,3.19557172902762e-06,4
"65","tpoly1",-0.000713410415365102,5.33806443801767e-05,-13.3645897993324,1.36521874433162e-39,5
"66","tpoly2",-8.10621557864206e-06,3.69731949665033e-06,-2.19245742381368,0.0284247202953596,5
"67","tpoly3",1.39680428548785e-06,2.37937602467016e-07,5.87046465546144,4.83223557184585e-09,5
"68","tpoly4",3.48459704686033e-08,7.64297824850408e-09,4.55921361223598,5.34455065656195e-06,5
"69","tpoly1_lag1",-0.000982514506358395,6.1504704315087e-05,-15.9746236861005,3.78913812703106e-55,5
"70","tpoly2_lag1",-9.79508282814859e-06,4.07982084874086e-06,-2.40086101603496,0.0164183947357718,5
"71","tpoly3_lag1",-1.20477564712276e-07,2.96397414442331e-07,-0.406473062320578,0.684424671322605,5
"72","tpoly4_lag1",3.66183795585916e-08,9.04071861459018e-09,4.05038372718467,5.24576439595388e-05,5
"73","tpoly1_lag2",-0.000696147120964238,5.79389381761338e-05,-12.0151860368576,1.68882796964644e-32,5
"74","tpoly2_lag2",-7.05408365415873e-07,3.70781942861327e-06,-0.190248845445987,0.849127289394875,5
"75","tpoly3_lag2",1.04735071460045e-06,2.6199954412747e-07,3.99752876703817,6.5583211429396e-05,5
"76","tpoly4_lag2",-3.00916475812678e-08,8.48220908355401e-09,-3.54761917383196,0.000394816638700519,5
"77","tpoly1_lag3",-0.000717018799750234,6.00286767007678e-05,-11.9446044650367,3.80275425044891e-32,5
"78","tpoly2_lag3",3.36033063842825e-06,3.78259063808838e-06,0.888367513151375,0.374415867229123,5
"79","tpoly3_lag3",1.00416641001874e-06,3.04846861710711e-07,3.2940027802276,0.000999436347292089,5
"80","tpoly4_lag3",-2.80858195457157e-08,9.19681377018263e-09,-3.05386411506711,0.00227941290108667,5
"81","tpoly1",-0.000678304028729021,5.42435770523995e-05,-12.5047805765792,5.58715732426567e-35,6
"82","tpoly2",-7.98650394887263e-06,4.16090853877199e-06,-1.91941348252506,0.0550306259877794,6
"83","tpoly3",1.16014759209732e-06,2.87761117123548e-07,4.0316343072828,5.68253511784496e-05,6
