"","term","estimate","std.error","statistic","p.value","boot"
"57","tpoly1_lag2",-0.000384982980245796,2.95215226519618e-05,-13.0407562233316,2.13248830166167e-38,4
"58","tpoly2_lag2",-1.02892431195933e-05,1.95528922946817e-06,-5.26226144169575,1.46777333676268e-07,4
"59","tpoly3_lag2",3.10402360635315e-07,1.25814868110126e-07,2.46713576302938,0.0136450632124514,4
"60","tpoly4_lag2",-1.87930481706169e-10,4.30596403208117e-09,-0.0436442293307632,0.965189315244079,4
"61","tpoly1_lag3",-0.000357222399871086,3.07247048108773e-05,-11.6265527063622,6.03853474356268e-31,4
"62","tpoly2_lag3",-6.25184814837444e-06,1.8545401904469e-06,-3.37110415863669,0.000752972539717667,4
"63","tpoly3_lag3",7.5110177170092e-07,1.27831213654684e-07,5.8757305843149,4.41486130181471e-09,4
"64","tpoly4_lag3",-1.82275055104885e-08,4.04816177261702e-09,-4.50266232782118,6.82607082553524e-06,4
"65","tpoly1",-0.000391613275633093,3.04131223889243e-05,-12.8764574260126,1.69575775548896e-37,5
"66","tpoly2",-1.53595057865405e-05,2.00422615719707e-06,-7.66355919035653,2.06424324093143e-14,5
"67","tpoly3",1.16340940619255e-06,1.12865623554917e-07,10.3079163482091,9.92226508071733e-25,5
"68","tpoly4",4.41874121068771e-08,4.22825100758498e-09,10.4505177265044,2.28149676887558e-25,5
"69","tpoly1_lag1",-0.00058859445481634,3.17651184792827e-05,-18.5295847456141,8.59702911347321e-75,5
"70","tpoly2_lag1",-3.31212470256228e-05,2.13586354768626e-06,-15.5071924241145,2.59615355965048e-53,5
"71","tpoly3_lag1",-2.90042776283992e-08,1.19824356595303e-07,-0.242056610630164,0.808743705441155,5
"72","tpoly4_lag1",4.60225576903746e-08,4.29645386857937e-09,10.7117541810339,1.46933236524413e-26,5
"73","tpoly1_lag2",-0.000361856609532801,3.00251167832558e-05,-12.0517969054028,4.16694462072959e-33,5
"74","tpoly2_lag2",-1.04574543501088e-05,2.12781316337728e-06,-4.91464877184547,9.10552400650085e-07,5
"75","tpoly3_lag2",3.44731606435201e-07,1.23082303226825e-07,2.80082186794885,0.00511187194272941,5
"76","tpoly4_lag2",-2.55089588218005e-09,4.33309033074158e-09,-0.588701293412333,0.556081512616221,5
"77","tpoly1_lag3",-0.000308678125720515,3.08755277349459e-05,-9.99750120452656,2.27722620187832e-23,5
"78","tpoly2_lag3",-8.36265387520833e-06,2.01405151404795e-06,-4.15215490610795,3.33445192982441e-05,5
"79","tpoly3_lag3",5.31764916732122e-07,1.27078211976769e-07,4.18454830659194,2.89385287296775e-05,5
"80","tpoly4_lag3",-1.01767383229619e-08,4.28529121774718e-09,-2.37480670644175,0.0175861311486226,5
"81","tpoly1",-0.000340422949142811,3.07386931686029e-05,-11.0747372139595,2.97140182075624e-28,6
"82","tpoly2",-1.45298523292406e-05,2.04499357078315e-06,-7.10508460115903,1.33058310947087e-12,6
"83","tpoly3",9.21241643121583e-07,1.4048907531359e-07,6.55738989715214,5.89619965199596e-11,6
"84","tpoly4",5.24636613899253e-08,4.69480776757923e-09,11.1748263160468,9.87730780961563e-29,6
"85","tpoly1_lag1",-0.000617968542339007,3.07843230528856e-05,-20.0741312803071,5.12255658025319e-87,6
"86","tpoly2_lag1",-2.65495862201801e-05,2.09992337979139e-06,-12.6431213994187,3.24656057291763e-36,6
"87","tpoly3_lag1",2.67996334142379e-08,1.3663500869588e-07,0.196140313306439,0.844506467519971,6
"88","tpoly4_lag1",3.69764346484582e-08,4.54231624003431e-09,8.14043600103435,4.68047688469991e-16,6
"89","tpoly1_lag2",-0.00039329034679612,2.91469275340258e-05,-13.4933723747382,6.05542919956941e-41,6
"90","tpoly2_lag2",-7.54428939267401e-06,2.04205666978069e-06,-3.69445642930381,0.000222165400678499,6
"91","tpoly3_lag2",5.09636803114843e-07,1.37503728626174e-07,3.70634897109135,0.000212014494132769,6
"92","tpoly4_lag2",-1.05918988328031e-08,4.53894324139079e-09,-2.33356053810394,0.0196490376770738,6
"93","tpoly1_lag3",-0.000362811432131539,3.11570596262445e-05,-11.6445979333021,4.95722734090787e-31,6
"94","tpoly2_lag3",-5.83332897672593e-06,1.97395888453169e-06,-2.95514208651304,0.00313645394279814,6
"95","tpoly3_lag3",8.00919332542686e-07,1.34773759609268e-07,5.94269489004899,2.94870557196239e-09,6
"96","tpoly4_lag3",-2.07337522801727e-08,4.37012034578132e-09,-4.74443508179082,2.13551379403315e-06,6
"97","tpoly1",-0.000355028057293804,3.20120429111022e-05,-11.0904529985706,2.44211281595614e-28,7
"98","tpoly2",-1.22838622468341e-05,2.04385282900117e-06,-6.01015008151896,1.94952572524117e-09,7
"99","tpoly3",1.23492554404068e-06,1.33782491914676e-07,9.23084572851501,3.52204648781867e-20,7
"100","tpoly4",3.75044240737253e-08,4.84381436320339e-09,7.74274595629265,1.1145896012215e-14,7
"101","tpoly1_lag1",-0.000662873051219626,3.38226113069209e-05,-19.5985178437121,3.07562012901893e-83,7
"102","tpoly2_lag1",-2.53128269785537e-05,2.0830190420999e-06,-12.1519901964197,1.24883587858285e-33,7
"103","tpoly3_lag1",1.33649290664288e-07,1.43328764365642e-07,0.932466635401521,0.351128581186035,7
"104","tpoly4_lag1",3.58577156399663e-08,4.81264053205652e-09,7.4507363267881,1.04331949312455e-13,7
"105","tpoly1_lag2",-0.000408679502880046,3.04758934351308e-05,-13.4099268902465,1.72682100855076e-40,7
"106","tpoly2_lag2",-8.46254088560942e-06,1.98492472126056e-06,-4.26340646321094,2.04061308718121e-05,7
"107","tpoly3_lag2",3.48460790598948e-07,1.35367401736012e-07,2.5741854104469,0.0100686456660185,7
"108","tpoly4_lag2",-1.78001046878335e-09,4.41180766700736e-09,-0.403465110706146,0.686618802566187,7
"109","tpoly1_lag3",-0.000306552182274719,3.47683418015255e-05,-8.81699173416629,1.47466838006017e-18,7
"110","tpoly2_lag3",-1.00574539567445e-05,1.88890385106858e-06,-5.32449227156527,1.04482369059277e-07,7
"111","tpoly3_lag3",6.1226627888739e-07,1.33422929163892e-07,4.58891348529234,4.53569067355063e-06,7
"112","tpoly4_lag3",-1.00097684449162e-08,4.20285876264911e-09,-2.38165710774609,0.0172623291354745,7
"113","tpoly1",-0.00038584392116893,3.38850185003457e-05,-11.3868588020689,9.07195273694974e-30,8
"114","tpoly2",-1.43569674013753e-05,2.00387047092195e-06,-7.16461847694671,8.62732047607986e-13,8
"115","tpoly3",1.21158509395952e-06,1.22251029425314e-07,9.91063306096494,5.36850436168355e-23,8
"116","tpoly4",4.29512019687291e-08,4.73575109378606e-09,9.06956491549711,1.54106015100018e-19,8
"117","tpoly1_lag1",-0.000587461702327678,3.54535958957484e-05,-16.5698764112705,1.77492774663615e-60,8
"118","tpoly2_lag1",-2.79987178348161e-05,2.18094477635266e-06,-12.8378848187253,2.7371908103332e-37,8
"119","tpoly3_lag1",-6.31387085466884e-08,1.35238427130853e-07,-0.466869586449694,0.640608241014105,8
"120","tpoly4_lag1",4.11857917129341e-08,4.55977133048493e-09,9.03242481428426,2.15665396125496e-19,8
"121","tpoly1_lag2",-0.000376749000151692,3.24915681842248e-05,-11.5952852141686,8.50896704220058e-31,8
"122","tpoly2_lag2",-1.05187594364632e-05,2.07058826247538e-06,-5.08008261569496,3.8738691846186e-07,8
"123","tpoly3_lag2",5.53167751152271e-07,1.37861761565242e-07,4.01248137896807,6.07327390046418e-05,8
"124","tpoly4_lag2",-1.05480033634359e-08,4.64451258512235e-09,-2.27106788282243,0.0231741972011848,8
"125","tpoly1_lag3",-0.00028816940387414,3.73981893106362e-05,-7.70543732693989,1.4909853263084e-14,8
"126","tpoly2_lag3",-1.02846863694058e-05,2.02018634429605e-06,-5.09095925652819,3.65889404085579e-07,8
"127","tpoly3_lag3",6.7080793550539e-07,1.50925003465179e-07,4.44464416169557,8.9443673346112e-06,8
"128","tpoly4_lag3",-1.31276027418616e-08,4.7821272213508e-09,-2.74513874981215,0.00606452335476113,8
"129","tpoly1",-0.00033989752336884,2.95807854582235e-05,-11.4904833696479,2.81737869134766e-30,9
"130","tpoly2",-1.54797896482895e-05,1.89842363546698e-06,-8.15402282140347,4.16389581403579e-16,9
"131","tpoly3",1.11847977274548e-06,1.09062593156338e-07,10.2553931680514,1.6935272408392e-24,9
"132","tpoly4",4.73690863932334e-08,4.13753267817157e-09,11.4486313650498,4.5274431370758e-30,9
"133","tpoly1_lag1",-0.000596427220608576,3.20852556724624e-05,-18.5888255557978,2.95285661797498e-75,9
"134","tpoly2_lag1",-2.86098641373899e-05,2.1091204191681e-06,-13.5648319922267,2.25506072176063e-41,9
"135","tpoly3_lag1",5.51813439681094e-08,1.24697458022831e-07,0.442521803114914,0.658125871272789,9
"136","tpoly4_lag1",4.04147991300857e-08,4.61488829240132e-09,8.75748156171646,2.49386643893652e-18,9
"137","tpoly1_lag2",-0.000416684841714388,2.9972340643219e-05,-13.9023123577324,2.42589268948162e-43,9
"138","tpoly2_lag2",-9.7753534039282e-06,1.99261760898267e-06,-4.90578491320219,9.52396470590696e-07,9
"139","tpoly3_lag2",4.5956424994616e-07,1.30621968465261e-07,3.51827686679199,0.00043722579711606,9
"140","tpoly4_lag2",-4.38305448203494e-09,4.23297839064812e-09,-1.035454017842,0.300494117093458,9
"141","tpoly1_lag3",-0.00030679208006478,3.27528403799988e-05,-9.36688471916864,9.98190394350613e-21,9
"142","tpoly2_lag3",-8.80678454495083e-06,1.94839422691776e-06,-4.5200218843199,6.28906072191012e-06,9
"143","tpoly3_lag3",6.30139773193088e-07,1.36075108269552e-07,4.63082323583267,3.71053261205413e-06,9
"144","tpoly4_lag3",-1.32195828153406e-08,4.3736349915526e-09,-3.0225619743928,0.00251587761854377,9
"145","tpoly1",-0.000345713237900984,3.16781231852376e-05,-10.913311873921,1.7302566337412e-27,10
"146","tpoly2",-1.48489216617012e-05,2.03321820444311e-06,-7.30316186883063,3.14970177221197e-13,10
"147","tpoly3",1.22661351473814e-06,1.32556281679321e-07,9.2535298908395,2.89829552014711e-20,10
"148","tpoly4",3.72178719367351e-08,4.67589928854139e-09,7.95951102452955,2.02595012298512e-15,10
