,year,month,gmt
0,1979,1,286.9369486432949
1,1979,1,286.9369486432949
2,1979,1,286.9369486432949
3,1979,1,286.9369486432949
4,1979,1,286.9369486432949
5,1979,1,286.9369486432949
6,1979,1,286.9369486432949
7,1979,1,286.9369486432949
8,1979,1,286.9369486432949
9,1979,1,286.9369486432949
10,1979,1,286.9369486432949
11,1979,1,286.9369486432949
12,1979,1,286.9369486432949
13,1979,1,286.9369486432949
14,1979,1,286.9369486432949
15,1979,1,286.9369486432949
16,1979,1,286.9369486432949
17,1979,1,286.9369486432949
18,1979,1,286.9369486432949
19,1979,1,286.9369486432949
20,1979,1,286.9369486432949
21,1979,1,286.9369486432949
22,1979,1,286.9369486432949
23,1979,1,286.9369486432949
24,1979,1,286.9369486432949
25,1979,1,286.9369486432949
26,1979,1,286.9369486432949
27,1979,1,286.9369486432949
28,1979,1,286.9369486432949
29,1979,1,286.9369486432949
30,1979,1,286.9369486432949
31,1979,2,286.94808634058194
32,1979,2,286.94808634058194
33,1979,2,286.94808634058194
34,1979,2,286.94808634058194
35,1979,2,286.94808634058194
36,1979,2,286.94808634058194
37,1979,2,286.94808634058194
38,1979,2,286.94808634058194
39,1979,2,286.94808634058194
40,1979,2,286.94808634058194
41,1979,2,286.94808634058194
42,1979,2,286.94808634058194
43,1979,2,286.94808634058194
44,1979,2,286.94808634058194
45,1979,2,286.94808634058194
46,1979,2,286.94808634058194
47,1979,2,286.94808634058194
48,1979,2,286.94808634058194
49,1979,2,286.94808634058194
50,1979,2,286.94808634058194
51,1979,2,286.94808634058194
52,1979,2,286.94808634058194
53,1979,2,286.94808634058194
54,1979,2,286.94808634058194
55,1979,2,286.94808634058194
56,1979,2,286.94808634058194
57,1979,2,286.94808634058194
58,1979,2,286.94808634058194
59,1979,3,286.9393941899934
60,1979,3,286.9393941899934
61,1979,3,286.9393941899934
62,1979,3,286.9393941899934
63,1979,3,286.9393941899934
64,1979,3,286.9393941899934
65,1979,3,286.9393941899934
66,1979,3,286.9393941899934
67,1979,3,286.9393941899934
68,1979,3,286.9393941899934
69,1979,3,286.9393941899934
70,1979,3,286.9393941899934
71,1979,3,286.9393941899934
72,1979,3,286.9393941899934
73,1979,3,286.9393941899934
74,1979,3,286.9393941899934
75,1979,3,286.9393941899934
76,1979,3,286.9393941899934
77,1979,3,286.9393941899934
78,1979,3,286.9393941899934
79,1979,3,286.9393941899934
80,1979,3,286.9393941899934
81,1979,3,286.9393941899934
82,1979,3,286.9393941899934
83,1979,3,286.9393941899934
84,1979,3,286.9393941899934
85,1979,3,286.9393941899934
86,1979,3,286.9393941899934
87,1979,3,286.9393941899934
88,1979,3,286.9393941899934
89,1979,3,286.9393941899934
90,1979,4,286.946598304654
91,1979,4,286.946598304654
92,1979,4,286.946598304654
93,1979,4,286.946598304654
94,1979,4,286.946598304654
95,1979,4,286.946598304654
96,1979,4,286.946598304654
97,1979,4,286.946598304654
98,1979,4,286.946598304654
99,1979,4,286.946598304654
100,1979,4,286.946598304654
101,1979,4,286.946598304654
102,1979,4,286.946598304654
103,1979,4,286.946598304654
104,1979,4,286.946598304654
105,1979,4,286.946598304654
106,1979,4,286.946598304654
107,1979,4,286.946598304654
108,1979,4,286.946598304654
109,1979,4,286.946598304654
110,1979,4,286.946598304654
111,1979,4,286.946598304654
112,1979,4,286.946598304654
113,1979,4,286.946598304654
114,1979,4,286.946598304654
115,1979,4,286.946598304654
116,1979,4,286.946598304654
117,1979,4,286.946598304654
118,1979,4,286.946598304654
119,1979,4,286.946598304654
120,1979,5,286.9501920205293
121,1979,5,286.9501920205293
122,1979,5,286.9501920205293
123,1979,5,286.9501920205293
124,1979,5,286.9501920205293
125,1979,5,286.9501920205293
126,1979,5,286.9501920205293
127,1979,5,286.9501920205293
128,1979,5,286.9501920205293
129,1979,5,286.9501920205293
130,1979,5,286.9501920205293
131,1979,5,286.9501920205293
132,1979,5,286.9501920205293
133,1979,5,286.9501920205293
134,1979,5,286.9501920205293
135,1979,5,286.9501920205293
136,1979,5,286.9501920205293
137,1979,5,286.9501920205293
138,1979,5,286.9501920205293
139,1979,5,286.9501920205293
140,1979,5,286.9501920205293
141,1979,5,286.9501920205293
142,1979,5,286.9501920205293
143,1979,5,286.9501920205293
144,1979,5,286.9501920205293
145,1979,5,286.9501920205293
146,1979,5,286.9501920205293
147,1979,5,286.9501920205293
148,1979,5,286.9501920205293
149,1979,5,286.9501920205293
150,1979,5,286.9501920205293
151,1979,6,286.9539422486923
152,1979,6,286.9539422486923
153,1979,6,286.9539422486923
154,1979,6,286.9539422486923
155,1979,6,286.9539422486923
156,1979,6,286.9539422486923
157,1979,6,286.9539422486923
158,1979,6,286.9539422486923
159,1979,6,286.9539422486923
160,1979,6,286.9539422486923
161,1979,6,286.9539422486923
162,1979,6,286.9539422486923
163,1979,6,286.9539422486923
164,1979,6,286.9539422486923
165,1979,6,286.9539422486923
166,1979,6,286.9539422486923
167,1979,6,286.9539422486923
168,1979,6,286.9539422486923
169,1979,6,286.9539422486923
170,1979,6,286.9539422486923
171,1979,6,286.9539422486923
172,1979,6,286.9539422486923
173,1979,6,286.9539422486923
174,1979,6,286.9539422486923
175,1979,6,286.9539422486923
176,1979,6,286.9539422486923
177,1979,6,286.9539422486923
178,1979,6,286.9539422486923
179,1979,6,286.9539422486923
180,1979,6,286.9539422486923
181,1979,7,286.9700957308572
182,1979,7,286.9700957308572
183,1979,7,286.9700957308572
184,1979,7,286.9700957308572
185,1979,7,286.9700957308572
186,1979,7,286.9700957308572
187,1979,7,286.9700957308572
